Spectroscopic Data At X=0, Y=0
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
602.806946	18.051281	160.348846	18.162476	160.580292	11.645185	145.189117	11.811011	145.921844	6.910315	89.458221	6.903123	92.286842	
604.395203	18.026592	160.397614	18.139994	160.632462	11.624132	145.261917	11.782057	145.978897	6.878513	89.483414	6.874487	92.147758	
605.983459	18.010218	160.488312	18.117807	160.684402	11.585521	145.394791	11.753458	146.035965	6.845639	89.251923	6.846172	92.009628	
607.571594	17.976055	160.499329	18.095728	160.736084	11.584889	145.503220	11.725004	146.092804	6.828684	89.139099	6.818077	91.870735	
609.159668	17.931978	160.576904	18.074003	160.787521	11.530165	145.410248	11.696969	146.149704	6.802080	89.019295	6.790327	91.733391	
610.747681	17.908142	160.587128	18.052317	160.838730	11.499296	145.517685	11.669004	146.206314	6.791450	88.721321	6.762757	91.594704	
612.335632	17.898720	160.668564	18.031034	160.889679	11.488418	145.627731	11.641513	146.263046	6.759055	88.856964	6.735555	91.458084	
613.923523	17.892429	160.724976	18.009758	160.940414	11.458167	145.586441	11.614051	146.319443	6.725790	88.325935	6.708510	91.319832	
615.511353	17.862942	160.759369	17.988880	160.990891	11.444631	145.695679	11.587060	146.375977	6.705286	88.268661	6.681828	91.183693	
617.099121	17.819618	160.742584	17.968018	161.041138	11.380443	145.684494	11.560109	146.432190	6.679540	88.199982	6.655305	91.046043	
618.686768	17.819740	160.846725	17.947519	161.091141	11.377321	145.766663	11.533587	146.488480	6.651045	88.019180	6.629120	90.910225	
620.274414	17.800268	160.873245	17.927059	161.140930	11.354713	145.875458	11.507133	146.544510	6.627837	87.886795	6.603106	90.773155	
621.861938	17.772526	160.921783	17.906929	161.190460	11.314425	145.875168	11.481071	146.600571	6.606320	87.633949	6.577406	90.637657	
623.449341	17.740549	160.903214	17.886856	161.239777	11.294521	145.942627	11.455093	146.656387	6.589066	87.500130	6.551884	90.501106	
625.036743	17.725607	161.029388	17.867092	161.288849	11.252914	145.959656	11.429484	146.712234	6.540828	87.343048	6.526661	90.365997	
626.624084	17.695560	161.039810	17.847393	161.337692	11.236498	145.949387	11.403970	146.767838	6.535217	87.243881	6.501616	90.229942	
