Frequency (kHz),SA_Noise (dBm),PD_Noise  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
10.30852995,-127.2551972,-108.1584014,-107.6024002,-93.9800004,-100.4063998
10.34482759,-127.3216002,-109.0736008,-106.870401,-94.236,-99.8359986
10.38112523,-127.8471984,-109.4895996,-107.5359986,-93.3511976,-100.2144012
10.41742287,-127.231201,-108.2944002,-107.3656006,-94.453598,-100.2880006
10.45372051,-128.0768008,-108.9800004,-107.9023988,-94.317601,-100.7784012
10.49001815,-128.0824006,-108.7584,-107.3912,-94.4416016,-100.6872008
10.52631579,-127.7408006,-109.353601,-106.7151992,-94.4447998,-101.5448014
10.56261343,-126.7216002,-108.9759994,-107.5304,-94.1136002,-100.6519986
10.59891107,-127.7944016,-108.5880004,-107.7399994,-94.4807996,-100.6415998
10.63520871,-127.9656006,-109.1552002,-107.8032014,-94.3312012,-102.1807998
10.67150635,-128.1063996,-108.676802,-106.9752,-94.1080002,-101.3480012
10.70780399,-127.9688002,-108.7279984,-107.2584016,-94.7520004,-102.301599
10.74410163,-127.4840012,-109.1087982,-107.2455992,-94.6287994,-101.8328002
10.78039927,-127.7111998,-108.3056,-107.6583998,-93.7880006,-101.7096024
10.81669691,-127.5800004,-108.2712004,-107.072,-95.3048004,-101.009599
10.85299456,-128.0360002,-108.3959992,-107.554399,-94.4128006,-101.2912002
10.8892922,-127.4816026,-107.6839998,-106.9,-94.3048004,-101.3936006
10.92558984,-128.3280002,-107.287999,-107.4768008,-94.8903992,-102.1687986
10.96188748,-128.6440004,-108.4639984,-106.220801,-94.3359988,-101.981601
10.99818512,-127.8887986,-109.0104004,-107.3263992,-94.8799986,-101.7551988
11.03448276,-127.4992018,-108.2512008,-107.9080018,-94.4703994,-102.4552002
11.0707804,-127.8951982,-108.704799,-108.6007994,-94.263199,-102.0911986
11.10707804,-127.2600006,-109.4327986,-107.2007996,-93.7815994,-101.438402
11.14337568,-127.916002,-108.460002,-107.025601,-93.8360002,-103.3912004
11.17967332,-127.5927978,-108.6664004,-106.6368012,-94.6967984,-102.7112
11.21597096,-127.5520004,-108.8144014,-107.3983992,-93.7152022,-101.4592026
11.2522686,-128.7503998,-108.8360004,-106.9256012,-93.9792006,-101.3576002
11.28856624,-128.7343996,-108.4255996,-107.8559996,-95.1727982,-101.8608004
11.32486388,-127.6912018,-107.5752,-107.3311996,-94.7807996,-101.7319992
11.36116152,-128.0728012,-109.0544006,-107.4016022,-95.0920016,-102.4328002
11.39745917,-127.5968004,-108.1559998,-106.6016006,-94.4696016,-101.8424012
11.43375681,-127.4783996,-109.1504014,-106.9351988,-95.1935992,-102.5751984
11.47005445,-128.3032012,-109.6736008,-107.2567992,-94.6911988,-102.359198
11.50635209,-129.007202,-107.8479996,-107.3335986,-94.9335998,-102.262401
11.54264973,-127.7903992,-108.4207992,-108.0248002,-94.3688004,-101.8080004
11.57894737,-127.4871978,-108.2632002,-106.5088,-94.3360002,-102.3888002
11.61524501,-128.2168016,-108.3848006,-107.0551986,-94.0416,-101.8192004
11.65154265,-128.6424012,-107.701599,-107.3135986,-94.0215988,-102.0880006
11.68784029,-128.6639984,-108.3863998,-106.3600006,-94.4576004,-101.3960006
11.72413793,-128.3175996,-108.7455996,-107.4664016,-94.0888,-101.8240004
11.76043557,-128.5671966,-109.114401,-107.1856002,-94.1136,-102.6112
11.79673321,-127.5791962,-109.4880006,-107.7895996,-95.1400008,-103.1600004
11.83303085,-129.062399,-108.4279998,-107.2623992,-94.4768006,-102.1023988
11.86932849,-127.7592012,-108.5727994,-106.6216002,-94.5063996,-102.3919998
11.90562613,-127.4687988,-108.2680008,-107.2824006,-94.3871994,-102.054399
11.94192377,-128.7528014,-108.7111998,-107.4576004,-94.6039996,-103.1416018
11.97822142,-128.7768002,-108.8231978,-107.1479996,-94.9167998,-102.6584
12.01451906,-128.504802,-107.9503998,-106.7664,-95.0319978,-103.8888
12.0508167,-128.9608002,-109.2904006,-107.0320008,-95.1840012,-103.0135988
12.08711434,-128.5072006,-108.2303986,-107.0623992,-94.087999,-101.872
12.12341198,-129.0031982,-110.0200012,-107.4344024,-94.7312014,-102.6527984
12.15970962,-127.9367996,-109.9367996,-107.6655992,-94.0920016,-102.9303986
