Frequency (kHz),SA_Noise (dBm),CA_Noise_open  (dBm),CA_Noise_cell_connected  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
8.058076225,-126.2191986,-110.4223984,-99.6063996,-100.3376004,-96.3112,-91.9496002
8.094373866,-126.1984008,-110.1255998,-98.6703994,-99.440001,-97.3839996,-92.6048004
8.130671506,-126.7655992,-111.2800004,-99.2896026,-99.1448,-97.0832,-92.0215988
8.166969147,-125.9031998,-110.4448,-100.1535996,-100.262398,-97.0551988,-91.1751996
8.203266788,-126.2583998,-110.6975998,-99.5807986,-99.7112,-96.1656006,-92.2255996
8.239564428,-126.3279998,-111.2152008,-99.9015976,-100.0031998,-97.8576006,-92.5255996
8.275862069,-126.5136002,-110.8423998,-100.2311996,-99.8208006,-96.4335998,-92.659201
8.31215971,-126.6792024,-110.4584014,-99.1248,-99.9720002,-96.7856002,-92.3328
8.34845735,-125.2672014,-111.9071992,-100.3175994,-99.2039994,-97.576802,-92.6664002
8.384754991,-125.6416002,-110.4807996,-99.9663986,-99.8559998,-96.2848008,-91.8304002
8.421052632,-125.9832002,-110.6712024,-100.1696002,-99.9856016,-97.1448012,-91.989601
8.457350272,-126.1839982,-111.5543992,-100.9031998,-99.521602,-98.0432006,-92.3623994
8.493647913,-127.4656006,-111.0399996,-100.2448016,-99.6688004,-96.7304002,-92.3903992
8.529945554,-125.600798,-110.5999984,-100.1895998,-99.3896014,-97.2567996,-92.6583968
8.566243194,-126.0816008,-111.5,-100.2168016,-100.8168014,-96.6479996,-91.9360002
8.602540835,-125.2607986,-111.4423998,-100.140799,-100.0311996,-97.0223982,-92.7167984
8.638838475,-125.5503996,-110.1095994,-100.4504014,-99.878398,-97.3719986,-93.1016008
8.675136116,-126.5520006,-111.0895998,-100.6584016,-100.3039994,-97.2167986,-92.1400008
8.711433757,-125.6783998,-111.2696014,-99.090399,-99.9528016,-97.5744006,-93.362401
8.747731397,-126.7528,-110.692801,-99.5199982,-100.3232008,-97.1951996,-91.9352006
8.784029038,-125.7399994,-110.9576018,-99.8007996,-99.764801,-96.8864014,-91.3992006
8.820326679,-126.2135988,-110.9688004,-100.0832016,-100.6672014,-97.7608002,-92.8304002
8.856624319,-127.1984008,-112.1775998,-100.9072008,-99.9063996,-96.8975982,-92.736798
8.89292196,-126.837601,-111.3703994,-101.367201,-101.8416,-97.1759994,-93.0887984
8.929219601,-125.8167996,-111.6807984,-99.9880006,-100.4063994,-97.2656008,-91.9327988
8.965517241,-125.4671982,-111.2056,-100.898401,-101.4367998,-97.771199,-92.6792008
9.001814882,-126.8984006,-110.6488008,-100.1832016,-99.9744004,-96.8951996,-92.8400008
9.038112523,-126.4423996,-110.6728014,-99.7127992,-99.8048006,-97.8112016,-92.5792006
9.074410163,-126.8112,-110.9679994,-99.7791994,-100.0000002,-97.9423996,-92.7999984
9.110707804,-126.6919998,-110.9927994,-101.048001,-100.0399994,-97.7408004,-93.1807982
9.147005445,-126.0551988,-111.5576004,-100.6063998,-100.2375994,-98.0392,-92.7240008
9.183303085,-127.006398,-111.010399,-100.8336014,-100.3343994,-98.0856002,-92.867201
9.219600726,-126.3496004,-111.2591996,-100.5728012,-100.7360002,-98.3000016,-92.4399994
9.255898367,-126.9736006,-111.5048006,-100.9503996,-100.1871994,-97.7703994,-92.3448
9.292196007,-126.8040008,-110.5543988,-100.5216004,-100.8576006,-97.6720002,-92.8439988
9.328493648,-126.7047988,-111.1136004,-101.1727996,-100.9735994,-96.864,-92.8552
9.364791289,-126.7800018,-110.5815994,-101.1384002,-101.4472016,-97.5272004,-92.6720002
9.401088929,-127.0392014,-110.3543992,-100.5087982,-101.3727996,-97.1559998,-93.3024002
9.43738657,-127.2944,-110.6432008,-101.1800004,-99.6504012,-97.8048004,-93.264
9.473684211,-126.3544022,-110.8792006,-102.1135986,-100.182399,-97.3535996,-92.6367996
9.509981851,-127.0552016,-110.8375992,-100.6119996,-100.651201,-97.2224014,-92.9824004
9.546279492,-127.1072006,-112.0455992,-100.9568008,-101.1160004,-97.992801,-92.7775984
9.582577132,-127.2615998,-111.4888,-99.8656004,-100.3783996,-98.2240006,-93.5656006
9.618874773,-127.1224,-110.665599,-100.3951996,-100.464801,-97.9360002,-93.459999
9.655172414,-126.687999,-110.4632006,-100.8375992,-101.0863996,-97.625598,-93.3911988
9.691470054,-126.3887984,-110.8664016,-100.7392014,-100.6208008,-98.2640002,-93.5903992
9.727767695,-126.5480008,-111.1696,-100.3240006,-101.504799,-97.3752002,-93.4751984
9.764065336,-126.7776016,-111.9144012,-100.8224014,-102.1951996,-98.3727998,-94.0615998
9.800362976,-127.4392014,-111.0224014,-100.7535996,-101.3623996,-98.2656004,-94.5128004
9.836660617,-127.0623994,-111.5423998,-100.8576006,-101.7936006,-97.323201,-93.9143996
9.872958258,-128.0112002,-111.0376008,-101.1215986,-101.8192,-97.5919998,-93.6863998
9.909255898,-127.0503996,-111.2471984,-101.093599,-100.957599,-98.7744004,-93.9472
9.945553539,-127.3279998,-111.9384004,-101.8551986,-101.7848024,-98.2496018,-93.8455992
9.98185118,-127.170401,-110.9104004,-102.2207992,-101.5336014,-98.9375992,-60.4976006
10.01814882,-127.8672028,-111.6887986,-101.628801,-100.9447984,-97.6703994,-92.7767992
10.05444646,-127.0951982,-112.083998,-100.1960022,-101.2864,-98.1016008,-94.2664002
10.0907441,-127.0255982,-111.2727996,-100.4815994,-100.7960008,-97.9184008,-94.1375992
