delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-997.9440193,4.050554994,0.024381905
-997.9440193,4.074142852,0.025783234
-997.9440193,4.09773071,0.027446031
-997.9440193,4.121318568,0.029332774
-997.9440193,4.144906426,0.031401808
-997.9440193,4.168494283,0.033610565
-997.9440193,4.192082141,0.035916467
-997.9440193,4.215669999,0.038276934
-997.9440193,4.239257857,0.040649386
-997.9440193,4.262845715,0.042991244
-997.9440193,4.286433572,0.045259928
-997.9440193,4.31002143,0.047412859
-997.9440193,4.333609288,0.049407458
-997.9440193,4.357197146,0.051201144
-997.9440193,4.380785003,0.052751338
-997.9440193,4.404372861,0.05401546
-997.9440193,4.427960719,0.054950932
-997.9440193,4.451548577,0.055515173
-997.9440193,4.475136435,0.055665987
-997.9440193,4.498724292,0.055364548
-997.9440193,4.52231215,0.054581801
-997.9440193,4.545900008,0.053307005
-997.9440193,4.569487866,0.051552712
-997.9440193,4.593075724,0.049351574
-997.9440193,4.616663581,0.046748045
-997.9440193,4.640251439,0.043791201
-997.9440193,4.663839297,0.040530913
-997.9440193,4.687427155,0.037017055
-997.9440193,4.711015012,0.0332995
-997.9440193,4.73460287,0.029428122
-997.9440193,4.758190728,0.025452793
-997.9440193,4.781778586,0.021423387
-997.9440193,4.805366444,0.017389777
-997.9440193,4.828954301,0.013401836
-997.9440193,4.852542159,0.009509438
-997.9440193,4.876130017,0.005762456
-997.9440193,4.899717875,0.002210763
-997.9440193,4.923305732,-0.001095768
-997.9440193,4.94689359,-0.004107263
-997.9440193,4.970481448,-0.00677385
-997.9440193,4.994069306,-0.009045655
-997.9440193,5.017657164,-0.010873004
-997.9440193,5.041245021,-0.012208994
-997.9440193,5.064832879,-0.013015817
-997.9440193,5.088420737,-0.013274025
-997.9440193,5.112008595,-0.0129893
-997.9440193,5.135596453,-0.012190712
-997.9440193,5.15918431,-0.010922137
-997.9440193,5.182772168,-0.009233778
-997.9440193,5.206360026,-0.007177229
-997.9440193,5.229947884,-0.004804106
-997.9440193,5.253535741,-0.002166023
-997.9440193,5.277123599,0.000685407
-997.9440193,5.300711457,0.00369857
-997.9440193,5.324299315,0.00682185
-997.9440193,5.347887173,0.010003635
-997.9440193,5.37147503,0.013192309
-997.9440193,5.395062888,0.016336259
-997.9440193,5.418650746,0.019383871
-997.9440193,5.442238604,0.02228353
-997.9440193,5.465826462,0.024983847
-997.9440193,5.489414319,0.027435963
-997.9440193,5.513002177,0.029598855
-997.9440193,5.536590035,0.031446825
-997.9440193,5.560177893,0.032974493
-997.9440193,5.58376575,0.034194779
-997.9440193,5.607353608,0.035131816
-997.9440193,5.630941466,0.035814357
-997.9440193,5.654529324,0.036272077
-997.9440193,5.678117182,0.036534658
-997.9440193,5.701705039,0.036631781
-997.9440193,5.725292897,0.036593127
-997.9440193,5.748880755,0.036448376
-997.9440193,5.772468613,0.036227211
-997.9440193,5.796056471,0.035959312
-997.9440193,5.819644328,0.035674361
-997.9440193,5.843232186,0.035402038
-997.9440193,5.866820044,0.035172024
-997.9440193,5.890407902,0.035014002
-997.9440193,5.913995759,0.034957651
-997.9440193,5.937583617,0.035032653
-997.9440193,5.961171475,0.035268642
-997.9440193,5.984759333,0.035694192
-997.9440193,6.008347191,0.036334025
-997.9440193,6.031935048,0.037204652
-997.9440193,6.055522906,0.038310722
-997.9440193,6.079110764,0.03964524
-997.9440193,6.102698622,0.041193422
-997.9440193,6.12628648,0.042936963
-997.9440193,6.149874337,0.044856667
-997.9440193,6.173462195,0.046933307
-997.9440193,6.197050053,0.049147659
-997.9440193,6.220637911,0.051480498
-997.9440193,6.244225768,0.053912599
-997.9440193,6.267813626,0.056424737
-997.9440193,6.291401484,0.058997686
-997.9440193,6.314989342,0.061612222
-997.9440193,6.3385772,0.06424912
-997.9440193,6.362165057,0.066889155
-997.9440193,6.385752915,0.069513101
-997.9440193,6.409340773,0.072101734
-997.9440193,6.432928631,0.074635947
-997.9440193,6.456516489,0.077097528
-997.9440193,6.480104346,0.079470749
-997.9440193,6.503692204,0.081744391
-997.9440193,6.527280062,0.083912805
-997.9440193,6.55086792,0.085974999
-997.9440193,6.574455777,0.087932634
-997.9440193,6.598043635,0.089788371
-997.9440193,6.621631493,0.091545021
-997.9440193,6.645219351,0.093205396
-997.9440193,6.668807209,0.094772309
-997.9440193,6.692395066,0.096248573
-997.9440193,6.715982924,0.097636999
-997.9440193,6.739570782,0.0989404
-997.9440193,6.76315864,0.100161588
-997.9440193,6.786746498,0.101303375
-997.9440193,6.810334355,0.102368574
-997.9440193,6.833922213,0.103359997
-997.9440193,6.857510071,0.104280457
-997.9440193,6.881097929,0.105132765
-997.9440193,6.904685786,0.105919734
-997.9440193,6.928273644,0.106644176
-997.9440193,6.951861502,0.107308904
-997.9440193,6.97544936,0.107916729
-997.9440193,6.999037218,0.108470465
-997.9440193,7.022625075,0.108972923
-997.9440193,7.046212933,0.109426915
-997.9440193,7.069800791,0.109835255
-997.9440193,7.093388649,0.110200754
-997.9440193,7.116976506,0.110526225
-997.9440193,7.140564364,0.110814479
-997.9440193,7.164152222,0.11106833
-997.9440193,7.18774008,0.111290589
-997.9440193,7.211327938,0.111484069
-997.9440193,7.234915795,0.111651582
-997.9440193,7.258503653,0.11179594
-997.9440193,7.282091511,0.111919956
-997.9440193,7.305679369,0.112026442
-997.9440193,7.329267227,0.112118211
-997.9440193,7.352855084,0.112198074
-997.9440193,7.376442942,0.112268844
-997.9440193,7.4000308,0.112333333
-997.9440193,7.423618658,0.112394353
-997.9440193,7.447206515,0.112454717
-997.9440193,7.470794373,0.112517238
-997.9440193,7.494382231,0.112584727
-997.9440193,7.517970089,0.112655868
-997.9440193,7.541557947,0.112724363
-997.9440193,7.565145804,0.11277892
-996.4436988,0.512376327,0.008264856
-996.4436988,0.535964185,0.008028482
-996.4436988,0.559552042,0.00775318
-996.4436988,0.5831399,0.007505271
-996.4436988,0.606727758,0.00732573
-996.4436988,0.630315616,0.00723041
-996.4436988,0.653903473,0.007214737
-996.4436988,0.677491331,0.007274137
-996.4436988,0.701079189,0.007404036
-996.4436988,0.724667047,0.00759986
-996.4436988,0.748254905,0.007857035
-996.4436988,0.771842762,0.008170986
-996.4436988,0.79543062,0.00853714
-996.4436988,0.819018478,0.008950922
-996.4436988,0.842606336,0.009407758
-996.4436988,0.866194194,0.009903073
-996.4436988,0.889782051,0.010432295
-996.4436988,0.913369909,0.010990849
-996.4436988,0.936957767,0.01157416
-996.4436988,0.960545625,0.012177654
-996.4436988,0.984133482,0.012796758
-996.4436988,1.00772134,0.013426896
